Pathway	Likelihood_Data
1K/1N	 84674.8
1K/2N	 84674.8
1K/3N	 84674.8
1K/4N	 84674.8
1K/5N	 84674.8
1K/6N	 84674.8
1K/7N	 84674.8
1K/8N	 84674.8
1K/9N	 84674.8
1K/10N	 84674.8
2K/1N	 81072.6
2K/2N	 81110.1
2K/3N	 81072.7
2K/4N	 81072.8
2K/5N	 81072.6
2K/6N	 81072.6
2K/7N	 81072.7
2K/8N	 81081.6
2K/9N	 81073.7
2K/10N	 81072.6
3K/1N	 80607
3K/2N	 80541.1
3K/3N	 80625.5
3K/4N	 80856.8
3K/5N	 80537.2
3K/6N	 80501.8
3K/7N	 80533.1
3K/8N	 80562.5
3K/9N	 80535.5
3K/10N	 80523.8
4K/1N	 80584
4K/2N	 80493.9
4K/3N	 80444.4
4K/4N	 80818.9
4K/5N	 80743
4K/6N	 81253.5
4K/7N	 80536.9
4K/8N	 80528.9
4K/9N	 80606.4
4K/10N	 80588.5
5K/1N	 80476.7
5K/2N	 80580.1
5K/3N	 81553.5
5K/4N	 81359.1
5K/5N	 80435.4
5K/6N	 80465.9
5K/7N	 80552.3
5K/8N	 80481.9
5K/9N	 80810.4
5K/10N	 80574.4
